branch	remote_sha	pr_count
nubs/trash/coding-linux-week-2026-08-18-do-not-merge	7f89b040ed41c22a0a3435d7a3515887cd172456	0
nubs/trash/coding-pre-snapshot-2026-08-18-do-not-merge	8d928f84ab55f4ffd3d89eb70f2821b124b2328e	0
nubs/trash/voice-linux-week-2026-08-18-do-not-merge	a32ad33a418283197a866d7c580f7b1e70733ff8	0
nubs/trash/voice-pre-19625-2026-08-18-do-not-merge	6a63e0c2bccb38a4deac04d2d77c870489a13f32	0
nubs/trash/voice-consolidated-2026-08-18-do-not-merge	4487d60c25a0e4add050309f580874ebcfcc5944	0
nubs/trash/embedding-streaming-2026-08-18-do-not-merge	0fa7e55793dd107f11040643fe670fe0188030e5	0
nubs/trash/voice-epoch-safety-2026-08-19-do-not-merge	a4c8e7a59612608a1e8db05648ae4b4197a1ce17	0
nubs/trash/voice-provisional-barge-in-2026-08-19-do-not-merge	8ba52403f2ff0362efce06309b5d31b56ec48f10	0
