name,material,role,bbox_x_mm,bbox_y_mm,bbox_z_mm,approx_solid_volume_cm3,recommended_print_axis_up,shapeways_pa12_standard_bbox_ok,shapeways_pa12_smooth_color_bbox_ok,stl,step,source_kind,source_asset,oem_baseline_meshes
right_shin_front_armor,orange_armor,armor,12.0,22.0,180.0,47.52,z,True,True,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/meshes/right_shin_front_armor.stl,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/step/right_shin_front_armor.step,primitive,,right_knee_link.STL
right_shin_side_armor,orange_armor,armor,30.0,12.0,236.0,84.96,z,True,True,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/meshes/right_shin_side_armor.stl,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/step/right_shin_side_armor.step,primitive,,right_knee_link.STL
left_foot_top_shell,orange_armor,armor,192.0,40.0,14.0,9.59,x,True,True,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/meshes/left_foot_top_shell.stl,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/step/left_foot_top_shell.step,parametric_loft,,left_ankle_roll_link.STL
left_foot_toe_armor,orange_armor,armor,7.99,7.99,5.0,0.17,y,True,True,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/meshes/left_foot_toe_armor.stl,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/step/left_foot_toe_armor.step,primitive,,left_ankle_roll_link.STL
left_foot_sole_black,black_underbody,underbody,224.0,72.0,9.0,124.99,x,True,True,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/meshes/left_foot_sole_black.stl,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/step/left_foot_sole_black.step,primitive,,left_ankle_roll_link.STL
left_foot_heel_black,black_underbody,underbody,40.0,50.0,26.0,40.3,y,True,True,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/meshes/left_foot_heel_black.stl,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/step/left_foot_heel_black.step,primitive,,left_ankle_roll_link.STL
right_foot_top_shell,orange_armor,armor,200.0,66.0,24.0,234.67,x,True,True,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/meshes/right_foot_top_shell.stl,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/step/right_foot_top_shell.step,primitive,,right_ankle_roll_link.STL
right_foot_toe_armor,orange_armor,armor,19.97,19.97,10.0,2.09,y,True,True,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/meshes/right_foot_toe_armor.stl,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/step/right_foot_toe_armor.step,primitive,,right_ankle_roll_link.STL
right_foot_sole_black,black_underbody,underbody,216.0,68.0,8.0,100.42,x,True,True,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/meshes/right_foot_sole_black.stl,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/step/right_foot_sole_black.step,primitive,,right_ankle_roll_link.STL
right_foot_heel_black,black_underbody,underbody,32.0,40.0,20.0,21.52,y,True,True,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/meshes/right_foot_heel_black.stl,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/step/right_foot_heel_black.step,primitive,,right_ankle_roll_link.STL
