,antenna_aperture_tuner,battery_back_void_foam_pad,battery_pouch,bottom_mic,bottom_microphone_mesh_1,bottom_microphone_mesh_2,bottom_microphone_port_1,bottom_microphone_port_2,bottom_speaker_acoustic_chamber,bottom_speaker_dust_mesh,bottom_speaker_grille_slot_1,bottom_speaker_grille_slot_2,bottom_speaker_grille_slot_3,bottom_speaker_grille_slot_4,bottom_speaker_grille_slot_5,bottom_speaker_module,cellular_bottom_antenna_keepout,cellular_top_antenna_keepout,display_fpc_bend_keepout,display_fpc_connector,display_lcm,earpiece_gasket,earpiece_receiver,front_camera_black_mask_window,front_camera_module,front_camera_under_glass,glass_perimeter_cushion_bottom,glass_perimeter_cushion_left,glass_perimeter_cushion_right,glass_perimeter_cushion_top,handset_acoustic_mesh,handset_acoustic_slot,haptic_lra,main_pcb,orange_back_shell,orange_battery_left_rib,orange_battery_right_rib,orange_corner_rib_1,orange_corner_rib_1_leg,orange_corner_rib_2,orange_corner_rib_2_leg,orange_corner_rib_3,orange_corner_rib_3_leg,orange_corner_rib_4,orange_corner_rib_4_leg,orange_rear_camera_bezel_bottom,orange_rear_camera_bezel_left,orange_rear_camera_bezel_right,orange_rear_camera_bezel_top,orange_rear_flash_bezel_bottom,orange_rear_flash_bezel_left,orange_rear_flash_bezel_right,orange_rear_flash_bezel_top,orange_screw_boss_1,orange_screw_boss_10,orange_screw_boss_2,orange_screw_boss_3,orange_screw_boss_4,orange_screw_boss_5,orange_screw_boss_6,orange_screw_boss_7,orange_screw_boss_8,orange_screw_boss_9,orange_side_frame,orange_snap_hook_1,orange_snap_hook_2,orange_snap_hook_3,orange_snap_hook_4,orange_snap_hook_5,orange_snap_hook_6,orange_snap_hook_7,orange_snap_hook_8,orange_usb_reinforcement_saddle,pmic_shield_can,power_button_cap,power_button_elastomer_gasket,power_button_labyrinth_lower_rail,power_button_labyrinth_upper_rail,radio_shield_can,rear_camera_cover_adhesive_bottom,rear_camera_cover_adhesive_left,rear_camera_cover_adhesive_right,rear_camera_cover_adhesive_top,rear_camera_cover_glass,rear_camera_lens_window,rear_camera_light_baffle_bottom,rear_camera_light_baffle_top,rear_camera_module,rear_camera_shell_aperture,rear_flash_camera_septum,rear_flash_led,rear_flash_led_window,rear_flash_shell_aperture,screen_adhesive_bottom,screen_adhesive_left,screen_adhesive_right,screen_adhesive_top,screen_cover_glass,service_label_recess,sim_tray_keepout,sim_tray_outline,soc_shield_can,split_interconnect_bottom_connector,split_interconnect_bottom_flex_tail,split_interconnect_side_flex,split_interconnect_top_connector,split_interconnect_top_flex_tail,top_mic,top_microphone_mesh,top_microphone_port,usb_c_external_aperture,usb_c_internal_drain_shelf,usb_c_molded_drip_break_lip,usb_c_perimeter_gasket_bottom,usb_c_perimeter_gasket_left,usb_c_perimeter_gasket_right,usb_c_perimeter_gasket_top,usb_c_receptacle,volume_button_cap,volume_button_elastomer_gasket,volume_button_labyrinth_lower_rail,volume_button_labyrinth_upper_rail,wifi_bt_side_antenna_keepout
power_button_elastomer_gasket,80.3,8.1,6.1,80.775,90.04,90.04,90.22,90.22,70.8,90.02,90.215,90.215,90.215,90.215,90.215,71.8,81.9,41.9,30.0,26.9,2.71,41.7,39.3,54.6,53.85,55.4,88.385,75.65,4.225,48.385,42.64,42.2,51.5,6.1,3.525,66.725,8.725,67.1,67.1,31.5,31.5,71.5,71.5,71.5,71.5,25.0,26.0,26.0,36.6,29.75,30.2,30.2,32.4,65.0,9.4,29.4,69.4,69.4,65.0,7.0,65.0,31.4,65.0,0.0,74.55,74.55,74.55,74.55,23.0,0.35,35.0,63.0,80.9,23.5,0.0,0.0,0.0,0.0,51.1,26.195,26.7,26.7,35.955,26.7,27.9,27.275,34.975,26.3,26.0,27.15,30.8,30.5,30.2,88.385,75.65,4.585,48.385,4.825,60.8,20.5,22.5,36.1,64.8,65.0,2.4,9.8,10.0,40.775,50.04,50.22,90.205,87.5,89.655,89.755,89.755,89.755,89.755,82.3,76.65,76.2,75.875,75.875,14.0
power_button_labyrinth_lower_rail,79.85,7.775,5.775,80.325,89.59,89.59,89.77,89.77,70.35,89.57,89.765,89.765,89.765,89.765,89.765,71.35,81.45,54.55,42.65,39.55,2.385,54.35,51.95,54.275,53.525,55.075,87.935,75.325,4.075,61.035,55.29,54.85,51.05,5.775,3.375,66.4,8.4,66.775,66.775,44.15,44.15,71.05,71.05,71.05,71.05,37.65,38.65,38.65,49.25,42.4,42.85,42.85,45.05,64.675,22.05,42.05,68.95,68.95,64.675,6.675,64.675,30.95,64.675,0.0,74.225,74.225,74.225,74.225,35.65,7.65,34.55,62.55,80.45,36.15,0.2704,0.0,0.0,12.3,50.775,38.845,39.35,39.35,48.605,39.35,40.55,39.925,47.625,38.95,38.65,39.8,43.45,43.15,42.85,87.935,75.325,4.435,61.035,4.675,60.35,20.05,22.05,35.775,64.35,64.55,2.075,22.45,22.65,53.425,62.69,62.87,89.755,87.05,89.205,89.305,89.305,89.305,89.305,81.85,76.325,75.875,75.55,75.55,26.65
power_button_labyrinth_upper_rail,92.95,7.775,5.775,93.425,102.69,102.69,102.87,102.87,83.45,102.67,102.865,102.865,102.865,102.865,102.865,84.45,94.55,41.45,29.55,26.45,2.385,41.25,38.85,54.275,53.525,55.075,101.035,75.325,4.075,47.935,42.19,41.75,64.15,5.775,3.375,66.4,8.4,66.775,66.775,31.05,31.05,84.15,84.15,84.15,84.15,24.55,25.55,25.55,36.15,29.3,29.75,29.75,31.95,64.675,8.95,28.95,82.05,82.05,64.675,6.675,64.675,44.05,64.675,0.0,74.225,74.225,74.225,75.65,22.55,0.025,47.65,75.65,93.55,23.05,0.2704,0.0,12.3,0.0,50.775,25.745,26.25,26.25,35.505,26.25,27.45,26.825,34.525,25.85,25.55,26.7,30.35,30.05,29.75,101.035,75.325,4.435,47.935,4.675,73.45,33.15,35.15,35.775,77.45,77.65,2.075,9.35,9.55,40.325,49.59,49.77,102.855,100.15,102.305,102.405,102.405,102.405,102.405,94.95,76.325,75.875,75.55,75.55,13.55
radio_shield_can,106.8,7.0,3.5,107.275,116.54,116.54,116.72,116.72,97.3,116.52,116.715,116.715,116.715,116.715,116.715,98.3,108.4,8.4,25.0,26.5,1.93,8.2,7.0,6.06,4.55,6.1,114.885,6.55,50.55,14.885,9.14,8.7,78.0,0.2,3.2,0.8,41.625,1.2,1.2,42.0,42.0,98.0,98.0,98.0,98.0,27.7,27.7,39.3,27.7,24.35,24.35,27.0,24.35,1.0,39.9,39.9,95.9,95.9,17.9,39.9,57.9,57.9,1.0,6.85,5.45,13.5,61.5,89.5,49.45,49.45,61.5,89.5,107.4,20.0,51.55,51.1,50.775,50.775,0.0,28.95,28.895,38.655,28.95,29.4,30.6,29.85,29.85,29.0,28.7,27.9,25.4,25.1,24.8,114.885,6.55,50.55,14.885,5.5,87.3,47.0,51.45,0.0,91.3,91.5,46.3,27.0,35.0,29.25,30.3,30.5,116.705,114.0,116.155,116.255,116.255,116.255,116.255,108.8,15.5,15.0,36.65,14.55,17.0
rear_camera_cover_adhesive_bottom,119.495,19.695,16.195,119.97,129.235,129.235,129.415,129.415,109.995,129.215,129.41,129.41,129.41,129.41,129.41,110.995,121.095,15.255,5.34,3.615,6.82,15.055,12.655,32.45,31.7,33.25,127.58,53.5,11.5,21.74,15.995,15.555,90.695,2.69,0.195,44.575,10.695,44.95,44.95,4.855,4.855,110.695,110.695,110.695,110.695,0.454,0.4802,0.4802,9.955,3.105,4.15,3.555,5.755,42.85,12.595,2.755,108.595,108.595,42.85,30.595,70.595,70.595,42.85,11.8,52.4,52.4,74.195,102.195,10.4,26.195,74.195,102.195,120.095,3.69,26.695,26.195,38.845,25.745,28.95,0.0,0.055,0.055,9.31,0.055,1.255,0.63,8.33,0.89,0.525,0.8069,4.155,3.855,3.555,127.58,53.5,11.5,21.74,10.39,99.995,59.695,61.695,13.95,103.995,104.195,16.195,13.995,14.195,14.13,23.395,23.575,129.4,126.695,128.85,128.95,128.95,128.95,128.95,121.495,54.5,54.05,53.725,53.725,7.195
rear_camera_cover_adhesive_left,120.0,20.2,16.7,120.475,129.74,129.74,129.92,129.92,110.5,129.72,129.915,129.915,129.915,129.915,129.915,111.5,121.6,6.0,5.34,3.615,6.82,8.715,9.895,32.395,31.645,33.195,128.085,53.445,21.205,12.485,9.94,11.045,91.2,2.69,0.195,44.52,12.28,44.895,44.895,12.655,12.655,111.2,111.2,111.2,111.2,0.8112,0.454,9.955,0.8112,1.445,4.095,1.445,1.445,42.795,13.1,10.555,109.1,109.1,42.795,31.1,71.1,71.1,42.795,13.25,52.345,52.345,74.7,102.7,20.105,26.7,74.7,102.7,120.6,3.69,27.2,26.7,39.35,26.25,28.895,0.055,0.0,9.31,0.055,0.055,1.255,0.505,0.505,0.89,0.525,0.5913,2.495,2.195,1.895,128.085,53.445,21.205,12.485,10.39,100.5,60.2,62.2,13.895,104.5,104.7,16.955,14.5,14.7,4.875,14.14,14.32,129.905,127.2,129.355,129.455,129.455,129.455,129.455,122.0,54.445,53.995,53.67,53.67,7.7
rear_camera_cover_adhesive_right,120.0,20.2,16.7,120.475,129.74,129.74,129.92,129.92,110.5,129.72,129.915,129.915,129.915,129.915,129.915,111.5,121.6,6.0,5.34,3.615,6.82,16.655,19.655,42.155,41.405,42.955,128.085,63.205,11.445,12.485,16.905,17.655,91.2,2.69,0.195,54.28,11.2,54.655,54.655,2.895,2.895,111.2,111.2,111.2,111.2,0.8112,9.955,0.454,0.8112,11.205,13.855,11.205,11.205,52.555,13.1,0.795,109.1,109.1,52.555,31.1,71.1,71.1,52.555,11.745,62.105,62.105,74.7,102.7,10.345,26.7,74.7,102.7,120.6,7.655,27.2,26.7,39.35,26.25,38.655,0.055,9.31,0.0,0.055,0.055,1.255,0.505,0.505,0.89,0.525,10.155,12.255,11.955,11.655,128.085,63.205,11.445,12.485,10.39,100.5,60.2,62.2,23.655,104.5,104.7,16.7,14.5,14.7,5.905,14.14,14.32,129.905,127.2,129.355,129.455,129.455,129.455,129.455,122.0,64.205,63.755,63.43,63.43,7.7
rear_camera_cover_adhesive_top,129.255,29.455,25.955,129.73,138.995,138.995,139.175,139.175,119.755,138.975,139.17,139.17,139.17,139.17,139.17,120.755,130.855,5.495,5.34,5.855,6.82,8.715,9.95,32.45,31.7,33.25,137.34,53.5,11.5,11.98,9.94,11.045,100.455,2.69,0.195,44.575,20.455,44.95,44.95,3.555,2.95,120.455,120.455,120.455,120.455,9.955,0.4802,0.4802,0.454,5.755,4.15,3.555,3.105,42.85,22.355,2.355,118.355,118.355,42.85,40.355,80.355,80.355,42.85,11.8,52.4,52.4,83.955,111.955,10.4,35.955,83.955,111.955,129.855,3.69,36.455,35.955,48.605,35.505,28.95,9.31,0.055,0.055,0.0,0.055,1.255,8.33,0.63,0.89,0.525,0.8069,4.155,3.855,3.555,137.34,53.5,11.5,11.98,10.39,109.755,69.455,71.455,13.95,113.755,113.955,25.955,23.755,23.955,4.37,13.635,13.815,139.16,136.455,138.61,138.71,138.71,138.71,138.71,131.255,54.5,54.05,59.105,53.725,16.955
rear_camera_cover_glass,120.0,20.2,16.7,120.475,129.74,129.74,129.92,129.92,110.5,129.72,129.915,129.915,129.915,129.915,129.915,111.5,121.6,6.0,5.5,3.775,6.98,8.875,10.4,32.9,32.15,33.7,128.085,53.95,11.95,12.485,10.1,11.205,91.2,2.85,0.7,45.025,11.2,45.4,45.4,3.4,3.4,111.2,111.2,111.2,111.2,0.7,0.7,0.7,0.7,1.95,4.6,1.95,1.95,43.3,13.1,1.3,109.1,109.1,43.3,31.1,71.1,71.1,43.3,12.25,52.85,52.85,74.7,102.7,10.85,26.7,74.7,102.7,120.6,3.85,27.2,26.7,39.35,26.25,29.4,0.055,0.055,0.055,0.055,0.0,0.0,0.0,0.0,1.05,0.0,1.0817,3.0,2.7,2.4,128.085,53.95,11.95,12.485,10.55,100.5,60.2,62.2,14.4,104.5,104.7,16.7,14.5,14.7,4.875,14.14,14.32,129.905,127.2,129.355,129.455,129.455,129.455,129.455,122.0,54.95,54.5,54.175,54.175,7.7
rear_camera_lens_window,121.2,21.4,17.9,121.675,130.94,130.94,131.12,131.12,111.7,130.92,131.115,131.115,131.115,131.115,131.115,112.7,122.8,7.2,5.5,3.775,6.98,8.875,11.6,34.1,33.35,34.9,129.285,55.15,13.15,13.685,10.1,11.205,92.4,2.85,1.9,46.225,12.4,46.6,46.6,4.6,4.6,112.4,112.4,112.4,112.4,1.9,1.9,1.9,1.9,3.15,5.8,3.15,3.15,44.5,14.3,2.5,110.3,110.3,44.5,32.3,72.3,72.3,44.5,13.45,54.05,54.05,75.9,103.9,12.05,27.9,75.9,103.9,121.8,3.85,28.4,27.9,40.55,27.45,30.6,1.255,1.255,1.255,1.255,0.0,0.0,0.275,0.275,1.05,0.0,2.1,4.2,3.9,3.6,129.285,55.15,13.15,13.685,10.55,101.7,61.4,63.4,15.6,105.7,105.9,17.9,15.7,15.9,6.075,15.34,15.52,131.105,128.4,130.555,130.655,130.655,130.655,130.655,123.2,56.15,55.7,55.375,55.375,8.9
