,antenna_aperture_tuner,battery_back_void_foam_pad,battery_pouch,bottom_mic,bottom_microphone_mesh_1,bottom_microphone_mesh_2,bottom_microphone_port_1,bottom_microphone_port_2,bottom_speaker_acoustic_chamber,bottom_speaker_dust_mesh,bottom_speaker_grille_slot_1,bottom_speaker_grille_slot_2,bottom_speaker_grille_slot_3,bottom_speaker_grille_slot_4,bottom_speaker_grille_slot_5,bottom_speaker_module,cellular_bottom_antenna_keepout,cellular_top_antenna_keepout,display_fpc_bend_keepout,display_fpc_connector,display_lcm,earpiece_gasket,earpiece_receiver,front_camera_black_mask_window,front_camera_module,front_camera_under_glass,glass_perimeter_cushion_bottom,glass_perimeter_cushion_left,glass_perimeter_cushion_right,glass_perimeter_cushion_top,handset_acoustic_mesh,handset_acoustic_slot,haptic_lra,main_pcb,orange_back_shell,orange_battery_left_rib,orange_battery_right_rib,orange_corner_rib_1,orange_corner_rib_1_leg,orange_corner_rib_2,orange_corner_rib_2_leg,orange_corner_rib_3,orange_corner_rib_3_leg,orange_corner_rib_4,orange_corner_rib_4_leg,orange_rear_camera_bezel_bottom,orange_rear_camera_bezel_left,orange_rear_camera_bezel_right,orange_rear_camera_bezel_top,orange_rear_flash_bezel_bottom,orange_rear_flash_bezel_left,orange_rear_flash_bezel_right,orange_rear_flash_bezel_top,orange_screw_boss_1,orange_screw_boss_10,orange_screw_boss_2,orange_screw_boss_3,orange_screw_boss_4,orange_screw_boss_5,orange_screw_boss_6,orange_screw_boss_7,orange_screw_boss_8,orange_screw_boss_9,orange_side_frame,orange_snap_hook_1,orange_snap_hook_2,orange_snap_hook_3,orange_snap_hook_4,orange_snap_hook_5,orange_snap_hook_6,orange_snap_hook_7,orange_snap_hook_8,orange_usb_reinforcement_saddle,pmic_shield_can,power_button_cap,power_button_elastomer_gasket,power_button_labyrinth_lower_rail,power_button_labyrinth_upper_rail,radio_shield_can,rear_camera_cover_adhesive_bottom,rear_camera_cover_adhesive_left,rear_camera_cover_adhesive_right,rear_camera_cover_adhesive_top,rear_camera_cover_glass,rear_camera_lens_window,rear_camera_light_baffle_bottom,rear_camera_light_baffle_top,rear_camera_module,rear_camera_shell_aperture,rear_flash_camera_septum,rear_flash_led,rear_flash_led_window,rear_flash_shell_aperture,screen_adhesive_bottom,screen_adhesive_left,screen_adhesive_right,screen_adhesive_top,screen_cover_glass,service_label_recess,sim_tray_keepout,sim_tray_outline,soc_shield_can,split_interconnect_bottom_connector,split_interconnect_bottom_flex_tail,split_interconnect_side_flex,split_interconnect_top_connector,split_interconnect_top_flex_tail,top_mic,top_microphone_mesh,top_microphone_port,usb_c_external_aperture,usb_c_internal_drain_shelf,usb_c_molded_drip_break_lip,usb_c_perimeter_gasket_bottom,usb_c_perimeter_gasket_left,usb_c_perimeter_gasket_right,usb_c_perimeter_gasket_top,usb_c_receptacle,volume_button_cap,volume_button_elastomer_gasket,volume_button_labyrinth_lower_rail,volume_button_labyrinth_upper_rail,wifi_bt_side_antenna_keepout
rear_camera_light_baffle_bottom,120.575,20.775,17.275,121.05,130.315,130.315,130.495,130.495,111.075,130.295,130.49,130.49,130.49,130.49,130.49,112.075,122.175,14.275,5.425,3.7,6.905,14.075,11.675,33.35,32.6,34.15,128.66,54.4,12.4,20.76,15.015,14.575,91.775,2.775,1.15,45.475,11.775,45.85,45.85,3.875,3.875,111.775,111.775,111.775,111.775,1.275,1.15,1.15,8.975,2.4,5.05,2.575,4.775,43.75,13.675,1.775,109.675,109.675,43.75,31.675,71.675,71.675,43.75,12.7,53.3,53.3,75.275,103.275,11.3,27.275,75.275,103.275,121.175,3.775,27.775,27.275,39.925,26.825,29.85,0.63,0.505,0.505,8.33,0.0,0.275,0.0,7.35,0.975,0.05,1.35,3.45,3.15,2.85,128.66,54.4,12.4,20.76,10.475,101.075,60.775,62.775,14.85,105.075,105.275,17.275,15.075,15.275,13.15,22.415,22.595,130.48,127.775,129.93,130.03,130.03,130.03,130.03,122.575,55.4,54.95,54.625,54.625,8.275
rear_camera_light_baffle_top,128.275,28.475,24.975,128.75,138.015,138.015,138.195,138.195,118.775,137.995,138.19,138.19,138.19,138.19,138.19,119.775,129.875,6.575,5.425,4.875,6.905,8.8,10.85,33.35,32.6,34.15,136.36,54.4,12.4,13.06,10.025,11.13,99.475,2.775,1.15,45.475,19.475,45.85,45.85,3.85,3.85,119.475,119.475,119.475,119.475,8.975,1.15,1.15,1.275,4.775,5.05,2.575,2.4,43.75,21.375,1.75,117.375,117.375,43.75,39.375,79.375,79.375,43.75,12.7,53.3,53.3,82.975,110.975,11.3,34.975,82.975,110.975,128.875,3.775,35.475,34.975,47.625,34.525,29.85,8.33,0.505,0.505,0.63,0.0,0.275,7.35,0.0,0.975,0.05,1.35,3.45,3.15,2.85,136.36,54.4,12.4,13.06,10.475,108.775,68.475,70.475,14.85,112.775,112.975,24.975,22.775,22.975,5.45,14.715,14.895,138.18,135.475,137.63,137.73,137.73,137.73,137.73,130.275,55.4,54.95,58.125,54.625,15.975
rear_camera_module,119.6,19.8,16.3,120.075,129.34,129.34,129.52,129.52,110.1,129.32,129.515,129.515,129.515,129.515,129.515,111.1,121.2,5.6,0.0,0.0,0.83,7.0,10.0,32.5,31.75,33.3,127.685,53.55,11.55,12.085,7.25,8.0,90.8,0.0,0.5,44.625,10.8,45.0,45.0,3.0,3.0,110.8,110.8,110.8,110.8,1.46,1.46,1.46,1.46,1.55,4.2,1.55,1.55,42.9,12.7,0.9,108.7,108.7,42.9,30.7,70.7,70.7,42.9,11.85,52.45,52.45,74.3,102.3,10.45,26.3,74.3,102.3,120.2,0.0,26.8,26.3,38.95,25.85,29.0,0.89,0.89,0.89,0.89,1.05,1.05,0.975,0.975,0.0,1.575,0.5,2.6,2.3,2.0,127.685,53.55,11.55,12.085,4.4,100.1,59.8,61.8,14.0,104.1,104.3,16.3,14.1,14.3,4.475,13.74,13.92,129.505,126.8,128.955,129.055,129.055,129.055,129.055,121.6,54.55,54.1,53.775,53.775,7.3
rear_camera_shell_aperture,119.3,19.5,16.0,119.775,129.04,129.04,129.22,129.22,109.8,129.02,129.215,129.215,129.215,129.215,129.215,110.8,120.9,5.3,6.025,4.3,7.505,9.4,9.7,32.2,31.45,33.0,127.385,53.25,11.25,11.785,10.625,11.73,90.5,3.375,0.0,44.325,10.5,44.7,44.7,2.7,2.7,110.5,110.5,110.5,110.5,0.0,0.0,0.0,0.0,1.25,3.9,1.25,1.25,42.6,12.4,0.831,108.4,108.4,42.6,30.4,70.4,70.4,42.6,11.55,52.15,52.15,74.0,102.0,10.15,26.0,74.0,102.0,119.9,4.375,26.5,26.0,38.65,25.55,28.7,0.525,0.525,0.525,0.525,0.0,0.0,0.05,0.05,1.575,0.0,1.125,2.3,2.0,1.7,127.385,53.25,11.25,11.785,11.075,99.8,59.5,61.5,13.7,103.8,104.0,16.0,13.8,14.0,4.175,13.44,13.62,129.205,126.5,128.655,128.755,128.755,128.755,128.755,121.3,54.25,53.8,53.475,53.475,7.0
rear_flash_camera_septum,120.45,20.65,17.15,120.925,130.19,130.19,130.37,130.37,110.95,130.17,130.365,130.365,130.365,130.365,130.365,111.95,122.05,6.45,2.8,1.075,4.28,6.25,8.9,31.4,30.65,32.2,128.535,52.45,22.05,12.935,7.4,8.505,91.65,0.15,0.0,43.525,13.125,43.9,43.9,13.5,13.5,111.65,111.65,111.65,111.65,1.15,1.01,10.8,1.15,1.03,3.1,1.03,1.03,41.8,13.55,11.4,109.55,109.55,41.8,31.55,71.55,71.55,41.8,13.7,51.35,51.35,75.15,103.15,20.95,27.15,75.15,103.15,121.05,1.15,27.65,27.15,39.8,26.7,27.9,0.8069,0.5913,10.155,0.8069,1.0817,2.1,1.35,1.35,0.5,1.125,0.0,1.5,1.2,1.125,128.535,52.45,22.05,12.935,7.85,100.95,60.65,62.65,12.9,104.95,105.15,17.8,14.95,15.15,5.325,14.59,14.77,130.355,127.65,129.805,129.905,129.905,129.905,129.905,122.45,53.45,53.0,52.675,52.675,8.15
rear_flash_led,124.1,24.3,20.8,124.575,133.84,133.84,134.02,134.02,114.6,133.82,134.015,134.015,134.015,134.015,134.015,115.6,125.7,10.1,4.0,2.275,5.48,9.9,7.5,28.9,28.15,29.7,132.185,49.95,24.15,16.585,10.84,10.4,95.3,1.35,0.6185,41.025,15.3,41.4,41.4,15.6,15.6,115.3,115.3,115.3,115.3,4.8,1.3,12.9,4.8,1.23,1.23,1.23,1.23,39.3,17.2,13.5,113.2,113.2,39.3,35.2,75.2,75.2,39.3,17.35,48.85,48.85,78.8,106.8,23.05,30.8,78.8,106.8,124.7,2.35,31.3,30.8,43.45,30.35,25.4,4.155,2.495,12.255,4.155,3.0,4.2,3.45,3.45,2.6,2.3,1.5,0.0,0.85,1.325,132.185,49.95,24.15,16.585,9.05,104.6,64.3,66.3,10.4,108.6,108.8,20.8,18.6,18.8,8.975,18.24,18.42,134.005,131.3,133.455,133.555,133.555,133.555,133.555,126.1,50.95,50.5,53.95,50.175,11.8
rear_flash_led_window,123.8,24.0,20.5,124.275,133.54,133.54,133.72,133.72,114.3,133.52,133.715,133.715,133.715,133.715,133.715,115.3,125.4,9.8,5.55,3.825,7.03,9.6,7.2,28.6,27.85,29.4,131.885,49.65,23.85,16.285,10.54,11.255,95.0,2.9,0.3,40.725,15.0,41.1,41.1,15.3,15.3,115.0,115.0,115.0,115.0,4.5,1.0,12.6,4.5,0.3,0.3,0.3,0.3,39.0,16.9,13.2,112.9,112.9,39.0,34.9,74.9,74.9,39.0,17.05,48.55,48.55,78.5,106.5,22.75,30.5,78.5,106.5,124.4,3.9,31.0,30.5,43.15,30.05,25.1,3.855,2.195,11.955,3.855,2.7,3.9,3.15,3.15,2.3,2.0,1.2,0.85,0.0,0.0,131.885,49.65,23.85,16.285,10.6,104.3,64.0,66.0,10.1,108.3,108.5,20.5,18.3,18.5,8.675,17.94,18.12,133.705,131.0,133.155,133.255,133.255,133.255,133.255,125.8,50.65,50.2,53.65,49.875,11.5
rear_flash_shell_aperture,123.5,23.7,20.2,123.975,133.24,133.24,133.42,133.42,114.0,133.22,133.415,133.415,133.415,133.415,133.415,115.0,125.1,9.5,6.025,4.3,7.505,9.4,6.9,28.3,27.55,29.1,131.585,49.35,23.55,15.985,10.625,11.73,94.7,3.375,0.0,40.425,14.7,40.8,40.8,15.0,15.0,114.7,114.7,114.7,114.7,4.2,0.7,12.3,4.2,0.0,0.0,0.0,0.0,38.7,16.6,12.9,112.6,112.6,38.7,34.6,74.6,74.6,38.7,16.75,48.25,48.25,78.2,106.2,22.45,30.2,78.2,106.2,124.1,4.375,30.7,30.2,42.85,29.75,24.8,3.555,1.895,11.655,3.555,2.4,3.6,2.85,2.85,2.0,1.7,1.125,1.325,0.0,0.0,131.585,49.35,23.55,15.985,11.075,104.0,63.7,65.7,9.8,108.0,108.2,20.2,18.0,18.2,8.375,17.64,17.82,133.405,130.7,132.855,132.955,132.955,132.955,132.955,125.5,50.35,49.9,53.35,49.575,11.2
screen_adhesive_bottom,6.31,27.885,24.385,5.76,5.61,5.61,5.81,5.81,7.96,3.91,4.31,4.31,4.31,4.31,4.31,5.585,5.06,143.285,131.385,128.285,4.8,143.085,140.685,140.185,139.435,140.985,0.11,6.5,6.5,149.77,144.025,143.585,24.885,8.885,9.66,18.885,18.885,132.885,132.885,132.885,132.885,15.985,9.885,15.985,9.885,126.385,127.385,127.385,137.985,131.135,131.585,131.585,133.785,130.785,110.785,130.785,14.785,14.785,92.785,92.785,52.785,52.785,110.785,0.0,124.385,96.385,48.385,20.385,124.385,96.385,48.385,20.385,6.86,124.885,88.885,88.385,87.935,101.035,114.885,127.58,128.085,128.085,137.34,128.085,129.285,128.66,136.36,127.685,127.385,128.535,132.185,131.885,131.585,0.0,6.05,6.05,149.77,0.06,18.585,45.885,47.885,121.885,21.185,21.385,23.385,111.185,111.385,142.16,151.425,151.605,4.61,8.62,8.705,8.355,4.26,4.26,4.115,4.935,78.385,77.885,77.435,99.535,115.385
screen_adhesive_left,9.55,9.53,5.55,17.8,14.85,19.85,15.05,20.05,47.65,47.05,48.45,51.45,54.45,57.45,60.45,48.55,6.55,6.55,49.55,51.05,2.16,28.55,31.55,16.05,15.3,16.85,6.5,0.11,75.1,6.5,28.8,29.55,70.05,6.66,9.66,8.175,66.175,7.66,7.66,66.55,66.55,7.66,7.66,66.55,66.55,52.25,52.25,63.85,52.25,48.9,48.9,51.55,48.9,7.46,64.45,64.45,7.46,64.45,7.46,64.45,7.46,64.45,7.46,0.0,5.26,5.26,5.26,5.26,74.0,74.0,74.0,74.0,28.55,44.55,76.1,75.65,75.325,75.325,6.55,53.5,53.445,63.205,53.5,53.95,55.15,54.4,54.4,53.55,53.25,52.45,49.95,49.65,49.35,6.05,0.0,75.1,6.05,0.06,21.55,62.1,76.0,21.55,51.55,59.55,70.85,51.55,59.55,53.8,54.85,55.05,32.45,31.15,30.95,31.85,31.955,42.795,31.85,33.08,4.81,4.585,4.435,4.435,41.55
screen_adhesive_right,63.55,9.53,5.55,53.8,58.85,53.85,59.05,54.05,9.45,12.05,25.45,22.45,19.45,16.45,13.45,11.55,6.55,6.55,4.51,5.385,2.16,28.55,31.55,54.05,53.3,54.85,6.5,75.1,0.11,6.5,28.8,29.55,6.91,6.66,9.66,66.175,8.175,66.55,66.55,7.66,7.66,66.55,66.55,7.66,7.66,10.72,21.85,10.72,10.72,23.1,25.75,23.1,23.1,64.45,7.46,7.46,64.45,7.46,64.45,7.46,64.45,7.46,64.45,0.0,74.0,74.0,74.0,74.0,5.26,5.26,5.26,5.26,28.55,19.55,4.81,4.585,4.435,4.435,50.55,11.5,21.205,11.445,11.5,11.95,13.15,12.4,12.4,11.55,11.25,22.05,24.15,23.85,23.55,6.05,75.1,0.0,6.05,0.06,21.55,4.76,3.76,35.55,7.55,6.72,6.72,7.55,6.72,17.8,18.85,19.05,32.45,31.15,30.95,31.85,42.795,31.955,31.85,33.08,76.1,75.65,75.325,75.325,5.06
screen_adhesive_top,141.685,41.885,38.385,142.16,151.425,151.425,151.605,151.605,132.185,151.405,151.6,151.6,151.6,151.6,151.6,133.185,143.285,5.06,8.385,18.285,15.8,4.685,3.085,4.585,3.835,5.385,149.77,6.5,6.5,0.11,5.625,5.185,112.885,8.885,9.66,32.885,32.885,15.985,9.885,15.985,9.885,132.885,132.885,132.885,132.885,22.385,11.785,11.785,10.785,18.185,15.985,15.985,15.535,14.785,34.785,14.785,130.785,130.785,52.785,52.785,92.785,92.785,34.785,0.0,20.385,48.385,96.385,124.385,20.385,48.385,96.385,124.385,142.285,14.885,48.885,48.385,61.035,47.935,14.885,21.74,12.485,12.485,11.98,12.485,13.685,20.76,13.06,12.085,11.785,12.935,16.585,16.285,15.985,149.77,6.05,6.05,0.0,0.06,122.185,81.885,83.885,11.885,126.185,126.385,38.385,36.185,36.385,5.76,5.61,5.81,151.59,148.885,151.04,151.14,151.14,151.14,151.14,143.685,50.385,49.885,71.535,49.435,29.385
screen_cover_glass,6.55,9.77,3.75,6.0,5.85,5.85,6.05,6.05,8.2,4.15,4.55,4.55,4.55,4.55,4.55,5.8,5.3,5.3,4.75,5.625,0.18,1.125,2.95,0.0,2.6,0.0,0.35,0.35,0.35,0.35,0.05,0.15,7.15,6.9,9.9,7.5,7.5,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,10.96,10.96,10.96,10.96,10.98,10.98,10.98,10.98,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,0.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,7.1,5.6,5.05,4.825,4.675,4.675,5.5,10.39,10.39,10.39,10.39,10.55,10.55,10.475,10.475,4.4,11.075,7.85,9.05,10.6,11.075,0.06,0.06,0.06,0.06,0.0,11.055,5.0,4.0,5.5,6.0,6.96,6.96,6.0,6.96,6.0,5.85,6.05,4.85,8.86,8.945,8.595,4.5,4.5,4.355,5.175,5.05,4.825,4.675,4.675,5.3
service_label_recess,10.5,1.105,1.705,10.975,20.24,20.24,20.42,20.42,1.1954,20.22,20.415,20.415,20.415,20.415,20.415,2.0,12.1,115.7,103.8,100.7,7.485,115.5,113.1,112.6,111.85,113.4,18.585,21.55,21.55,122.185,116.44,116.0,16.5,3.355,0.0,12.625,12.625,105.3,105.3,105.3,105.3,13.0,13.0,13.0,13.0,98.8,99.8,99.8,110.4,103.55,104.0,104.0,106.2,103.2,83.2,103.2,10.9,10.9,65.2,65.2,25.2,25.2,83.2,19.35,96.8,68.8,20.8,20.45,96.8,68.8,20.8,20.45,11.1,97.3,61.3,60.8,60.35,73.45,87.3,99.995,100.5,100.5,109.755,100.5,101.7,101.075,108.775,100.1,99.8,100.95,104.6,104.3,104.0,18.585,21.55,21.55,122.185,11.055,0.0,18.3,22.45,94.3,4.155,6.0,17.3,83.6,83.8,114.575,123.84,124.02,20.405,17.7,19.855,19.955,19.955,19.955,19.955,12.5,50.8,50.3,49.85,71.95,87.8
sim_tray_keepout,50.55,2.77,0.0,40.8,47.54,47.54,47.72,47.72,28.3,47.52,47.715,47.715,47.715,47.715,47.715,29.3,39.4,75.4,63.5,60.4,1.43,75.2,72.8,72.3,71.55,73.1,45.885,62.1,4.4,81.885,76.14,75.7,9.0,22.0,2.9,53.175,0.5,65.0,65.0,65.0,65.0,53.55,53.55,29.0,29.0,58.5,59.5,59.5,70.1,63.25,63.7,63.7,65.9,62.9,42.9,62.9,51.45,26.9,51.45,24.9,51.45,0.7,51.45,0.0,61.0,61.0,61.0,61.0,56.5,28.5,0.0,20.5,38.4,57.0,21.0,20.5,20.05,33.15,47.0,59.695,60.2,60.2,69.455,60.2,61.4,60.775,68.475,59.8,59.5,60.65,64.3,64.0,63.7,45.885,62.1,4.76,81.885,5.0,18.3,0.0,0.0,54.0,22.3,22.5,0.0,43.3,43.5,74.275,83.54,83.72,47.705,45.0,47.155,47.255,47.255,47.255,47.255,39.8,63.1,62.65,62.325,62.325,47.5
sim_tray_outline,64.45,8.45,6.45,54.7,59.75,54.75,59.95,54.95,30.3,49.52,49.715,49.715,49.715,49.715,49.715,31.3,41.4,77.4,65.5,62.4,3.06,77.2,74.8,74.3,73.55,75.1,47.885,76.0,3.4,83.885,78.14,77.7,11.0,6.45,1.9,67.075,9.075,67.45,67.45,67.0,67.0,67.45,67.45,31.0,31.0,60.5,61.5,61.5,72.1,65.25,65.7,65.7,67.9,65.35,44.9,64.9,65.35,28.9,65.35,26.9,65.35,7.35,65.35,0.0,74.9,74.9,74.9,74.9,58.5,30.5,0.7,22.5,40.4,59.0,23.0,22.5,22.05,35.15,51.45,61.695,62.2,62.2,71.455,62.2,63.4,62.775,70.475,61.8,61.5,62.65,66.3,66.0,65.7,47.885,76.0,3.76,83.885,4.0,22.45,0.0,0.0,56.0,24.3,24.5,2.75,45.3,45.5,76.275,85.54,85.72,49.705,47.0,49.155,49.255,49.255,49.255,49.255,41.8,77.0,76.55,76.225,76.225,49.5
soc_shield_can,113.8,14.0,10.5,114.275,123.54,123.54,123.72,123.72,104.3,123.52,123.715,123.715,123.715,123.715,123.715,105.3,115.4,5.4,10.0,11.5,1.93,5.2,2.8,6.06,1.55,6.075,121.885,21.55,35.55,11.885,6.14,6.155,85.0,0.2,3.2,12.625,26.625,13.0,13.0,27.0,27.0,105.0,105.0,105.0,105.0,12.7,12.7,24.3,12.7,9.35,9.35,12.0,9.35,10.9,24.9,24.9,102.9,102.9,24.9,24.9,64.9,64.9,10.9,12.65,20.45,20.5,68.5,96.5,34.45,34.45,68.5,96.5,114.4,5.0,36.55,36.1,35.775,35.775,0.0,13.95,13.895,23.655,13.95,14.4,15.6,14.85,14.85,14.0,13.7,12.9,10.4,10.1,9.8,121.885,21.55,35.55,11.885,5.5,94.3,54.0,56.0,0.0,98.3,98.5,31.3,12.0,20.0,14.25,15.3,15.5,123.705,121.0,123.155,123.255,123.255,123.255,123.255,115.8,22.55,22.1,43.65,21.775,2.0
split_interconnect_bottom_connector,40.0,4.3,0.8,30.25,35.3,30.3,35.5,30.5,3.6,22.82,23.015,23.015,23.015,23.015,23.015,4.6,14.7,119.7,107.8,104.7,2.43,119.5,117.1,116.6,115.85,117.4,21.185,51.55,7.55,126.185,120.44,120.0,2.5,0.0,3.0,42.625,0.6,109.3,109.3,109.3,109.3,43.0,43.0,4.3,4.3,102.8,103.8,103.8,114.4,107.55,108.0,108.0,110.2,107.2,87.2,107.2,40.9,2.2,69.2,69.2,40.9,29.2,87.2,7.85,100.8,72.8,50.45,50.45,100.8,72.8,24.8,6.45,13.7,101.3,65.3,64.8,64.35,77.45,91.3,103.995,104.5,104.5,113.755,104.5,105.7,105.075,112.775,104.1,103.8,104.95,108.6,108.3,108.0,21.185,51.55,7.55,126.185,6.0,4.155,22.3,24.3,98.3,0.0,0.06,3.3,87.6,87.8,118.575,127.84,128.02,23.005,20.3,22.455,22.555,22.555,22.555,22.555,15.1,54.8,54.3,53.85,75.95,91.8
split_interconnect_bottom_flex_tail,48.0,4.5,1.0,38.25,43.3,38.3,43.5,38.5,3.8,23.02,23.215,23.215,23.215,23.215,23.215,4.8,14.9,119.9,108.0,104.9,3.39,119.7,117.3,116.8,116.05,117.6,21.385,59.55,6.36,126.385,120.64,120.2,1.5,0.0,2.76,50.625,0.36,109.5,109.5,109.5,109.5,51.0,51.0,4.5,4.5,103.0,104.0,104.0,114.6,107.75,108.2,108.2,110.4,107.4,87.4,107.4,48.9,2.4,69.4,69.4,48.9,29.4,87.4,3.35,101.0,73.0,58.45,58.45,101.0,73.0,25.0,1.95,13.9,101.5,65.5,65.0,64.55,77.65,91.5,104.195,104.7,104.7,113.955,104.7,105.9,105.275,112.975,104.3,104.0,105.15,108.8,108.5,108.2,21.385,59.55,6.72,126.385,6.96,6.0,22.5,24.5,98.5,0.06,0.0,0.0,87.8,88.0,118.775,128.04,128.22,23.205,20.5,22.655,22.755,27.245,22.755,22.755,17.53,60.55,60.1,59.775,76.15,92.0
split_interconnect_side_flex,59.3,3.3,1.3,49.55,54.6,49.6,54.8,49.8,5.8,25.02,25.215,25.215,25.215,25.215,25.215,7.3,16.9,31.9,20.0,16.9,3.39,31.7,29.3,49.8,49.05,50.6,23.385,70.85,6.36,38.385,32.64,32.2,0.01,1.3,2.76,61.925,3.925,62.3,62.3,21.5,21.5,62.3,62.3,6.5,6.5,15.0,17.6,16.0,26.6,19.75,21.5,20.2,22.4,60.2,2.2,19.4,60.2,4.4,60.2,2.2,60.2,2.2,60.2,2.15,69.75,69.75,69.75,69.75,13.0,0.7524,0.7524,0.7524,24.3,15.3,2.85,2.4,2.075,2.075,46.3,16.195,16.955,16.7,25.955,16.7,17.9,17.275,24.975,16.3,16.0,17.8,20.8,20.5,20.2,23.385,70.85,6.72,38.385,6.96,17.3,0.0,2.75,31.3,3.3,0.0,0.0,3.3,0.0,30.775,40.04,40.22,28.2,26.9,26.7,27.6,38.545,27.705,27.6,28.83,71.85,71.4,71.075,71.075,4.0
split_interconnect_top_connector,103.1,3.3,0.0,103.575,112.84,112.84,113.02,113.02,93.6,112.82,113.015,113.015,113.015,113.015,113.015,94.6,104.7,29.7,17.8,14.7,2.43,29.5,27.1,30.5,29.75,31.3,111.185,51.55,7.55,36.185,30.44,30.0,74.3,0.0,3.0,42.625,0.6,43.0,43.0,19.3,19.3,94.3,94.3,94.3,94.3,12.8,13.8,13.8,24.4,17.55,18.0,18.0,20.2,40.9,0.8,17.2,92.2,92.2,40.9,14.2,54.2,54.2,40.9,7.85,50.45,50.45,57.8,85.8,10.8,9.8,57.8,85.8,103.7,11.3,10.3,9.8,22.45,9.35,27.0,13.995,14.5,14.5,23.755,14.5,15.7,15.075,22.775,14.1,13.8,14.95,18.6,18.3,18.0,111.185,51.55,7.55,36.185,6.0,83.6,43.3,45.3,12.0,87.6,87.8,3.3,0.0,0.06,28.575,37.84,38.02,113.005,110.3,112.455,112.555,112.555,112.555,112.555,105.1,52.55,52.1,51.775,51.775,1.8
split_interconnect_top_flex_tail,103.3,3.5,0.0,103.775,113.04,113.04,113.22,113.22,93.8,113.02,113.215,113.215,113.215,113.215,113.215,94.8,104.9,29.9,18.0,14.9,3.39,29.7,27.3,38.5,37.75,39.3,111.385,59.55,6.36,36.385,30.64,30.2,74.5,0.0,2.76,50.625,0.36,51.0,51.0,19.5,19.5,94.5,94.5,94.5,94.5,13.0,14.0,14.0,24.6,17.75,18.2,18.2,20.4,48.9,0.56,17.4,92.4,92.4,48.9,14.4,54.4,54.4,48.9,3.35,58.45,58.45,58.45,86.0,11.0,10.0,58.0,86.0,103.9,11.5,10.5,10.0,22.65,9.55,35.0,14.195,14.7,14.7,23.955,14.7,15.9,15.275,22.975,14.3,14.0,15.15,18.8,18.5,18.2,111.385,59.55,6.72,36.385,6.96,83.8,43.5,45.5,20.0,87.8,88.0,0.0,0.06,0.0,28.775,38.04,38.22,113.205,110.5,112.655,112.755,112.755,112.755,112.755,105.3,60.55,60.1,59.775,59.775,2.0
top_mic,134.075,34.275,30.775,134.55,143.815,143.815,143.995,143.995,124.575,143.795,143.99,143.99,143.99,143.99,143.99,125.575,135.675,0.0,1.226,10.675,8.19,7.25,10.25,32.75,32.0,33.55,142.16,53.8,17.8,5.4,7.5,8.25,105.275,1.275,2.9,44.875,25.275,45.25,45.25,9.25,9.25,125.275,125.275,125.275,125.275,14.775,4.175,6.55,3.96,10.575,8.375,8.375,7.925,43.15,27.175,7.175,123.175,123.175,45.175,45.175,85.175,85.175,43.15,5.725,52.7,52.7,88.775,116.775,16.7,40.775,88.775,116.775,134.675,7.275,41.275,40.775,53.425,40.325,29.25,14.13,4.875,5.905,4.37,4.875,6.075,13.15,5.45,4.475,4.175,5.325,8.975,8.675,8.375,142.16,53.8,17.8,5.76,6.0,114.575,74.275,76.275,14.25,118.575,118.775,30.775,28.575,28.775,0.0,6.615,6.795,143.98,141.275,143.43,143.53,143.53,143.53,143.53,136.075,54.8,54.35,63.925,54.025,21.775
top_microphone_mesh,143.34,43.54,40.04,143.815,153.08,153.08,153.26,153.26,133.84,153.06,153.255,153.255,153.255,153.255,153.255,134.84,144.94,2.14,10.04,19.94,17.455,8.3,11.3,33.8,33.05,34.6,151.425,54.85,18.85,5.25,8.55,9.3,114.54,10.54,2.65,45.925,34.54,46.3,46.3,17.64,11.54,134.54,134.54,134.54,134.54,24.04,13.44,13.44,12.44,19.84,17.64,17.64,17.19,44.2,36.44,16.44,132.44,132.44,54.44,54.44,94.44,94.44,44.2,0.0,53.75,53.75,98.04,126.04,22.04,50.04,98.04,126.04,143.94,16.54,50.54,50.04,62.69,49.59,30.3,23.395,14.14,14.14,13.635,14.14,15.34,22.415,14.715,13.74,13.44,14.59,18.24,17.94,17.64,151.425,54.85,18.85,5.61,5.85,123.84,83.54,85.54,15.3,127.84,128.04,40.04,37.84,38.04,6.615,0.0,0.06,153.245,150.54,152.695,152.795,152.795,152.795,152.795,145.34,55.85,55.4,73.19,55.075,31.04
