cu_path	status	obj_bytes
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-f16-q4_0.cu	OK	5185112
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-f16-q4_1.cu	OK	4741048
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-f16-q5_0.cu	OK	5870488
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-f16-q5_1.cu	OK	5348824
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-f16-q8_0.cu	OK	4442360
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-q4_0-f16.cu	OK	4850872
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-q4_0-q4_0.cu	OK	5994904
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-q4_0-q4_1.cu	OK	5550808
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-q4_0-q5_0.cu	OK	6674840
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-q4_0-q5_1.cu	OK	6160280
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-q4_0-q8_0.cu	OK	5245656
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-q4_1-f16.cu	OK	4934712
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-q4_1-q4_0.cu	OK	6095096
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-q4_1-q4_1.cu	OK	5653720
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-q4_1-q5_0.cu	OK	6784024
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-q4_1-q5_1.cu	OK	6264792
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-q4_1-q8_0.cu	OK	5347768
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-q5_0-f16.cu	OK	5414104
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-q5_0-q4_0.cu	OK	6577560
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-q5_0-q4_1.cu	OK	6134296
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-q5_0-q5_0.cu	OK	7262936
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-q5_0-q5_1.cu	OK	6745080
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-q5_0-q8_0.cu	OK	5829976
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-q5_1-f16.cu	OK	5426360
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-q5_1-q4_0.cu	OK	6585368
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-q5_1-q4_1.cu	OK	6140280
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-q5_1-q5_0.cu	OK	7272344
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-q5_1-q5_1.cu	OK	6750104
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-q5_1-q8_0.cu	OK	5835768
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-q8_0-f16.cu	OK	4773272
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-q8_0-q4_0.cu	OK	5914776
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-q8_0-q4_1.cu	OK	5469592
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-q8_0-q5_0.cu	OK	6599096
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-q8_0-q5_1.cu	OK	6080056
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-q8_0-q8_0.cu	OK	5160600
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-tbq3_0-tbq3_0.cu	OK	37762616
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-tbq3_0-tbq4_0.cu	OK	37039096
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-tbq4_0-tbq3_0.cu	OK	37214040
ggml/src/ggml-cuda/template-instances/fattn-vec-instance-tbq4_0-tbq4_0.cu	OK	36454424
ggml/src/ggml-cuda/template-instances/mmf-instance-ncols_10.cu	OK	6642744
ggml/src/ggml-cuda/template-instances/mmf-instance-ncols_11.cu	OK	6531224
ggml/src/ggml-cuda/template-instances/mmf-instance-ncols_12.cu	OK	6693464
ggml/src/ggml-cuda/template-instances/mmf-instance-ncols_13.cu	OK	6939672
ggml/src/ggml-cuda/template-instances/mmf-instance-ncols_14.cu	OK	7065752
ggml/src/ggml-cuda/template-instances/mmf-instance-ncols_15.cu	OK	7119448
ggml/src/ggml-cuda/template-instances/mmf-instance-ncols_16.cu	OK	7269976
ggml/src/ggml-cuda/template-instances/mmf-instance-ncols_1.cu	OK	4287776
ggml/src/ggml-cuda/template-instances/mmf-instance-ncols_2.cu	OK	4567840
